name,ages,team,play_year,country,打,投,出賽數,打席,打數,打點,得分,安打,一安,二安,三安,全壘打,壘打數,被三振,盜壘,上壘率,長打率,打擊率,雙殺打,犧短,犧飛,四壞,故四,死球,盜壘刺,滾地出局,高飛出局,滾飛出局比,盜壘率,整體攻擊指數
朱育賢85,25,Lamigo,2016,中華民國,左打,左投,91,297,244,58,43,86,52,19,0,15,150,62,0,0.459,0.615,0.352,5,1,2,44,0,6,0,45,54,0.833,0.00,1.074
朱育賢85,26,Lamigo,2017,中華民國,左打,左投,112,424,364,83,71,112,56,29,0,27,222,89,1,0.397,0.610,0.308,5,0,3,50,1,6,2,86,80,1.075,0.33,1.007
朱育賢85,27,Lamigo,2018,中華民國,左打,左投,98,366,326,82,58,104,76,16,0,12,156,71,1,0.375,0.479,0.319,8,0,6,31,1,2,0,91,66,1.379,1.00,0.854
朱育賢85,28,Lamigo,2019,中華民國,左打,左投,118,507,458,105,93,159,102,26,1,30,277,105,0,0.394,0.605,0.347,12,2,5,38,3,1,0,109,92,1.185,0.00,0.999
朱育賢85,29,樂天桃猿,2020,中華民國,左打,左投,103,394,357,70,62,126,78,20,1,27,229,80,0,0.405,0.641,0.353,8,0,3,30,1,3,0,88,66,1.333,0.00,1.046
朱育賢85,30,樂天桃猿,2021,中華民國,左打,左投,21,86,80,16,9,23,17,2,1,3,36,14,0,0.337,0.450,0.288,2,0,0,4,0,2,0,20,23,0.870,0.00,0.787
